test_id,category,model,model_version,run_date,run_number,temperature,score,failure_mode,notes
H01,citation_fabrication,,,,1,,,,
H01,citation_fabrication,,,,2,,,,
H01,citation_fabrication,,,,3,,,,
H02,entity_fabrication,,,,1,,,,
H02,entity_fabrication,,,,2,,,,
H02,entity_fabrication,,,,3,,,,
H03,premise_acceptance,,,,1,,,,
H03,premise_acceptance,,,,2,,,,
H03,premise_acceptance,,,,3,,,,
H04,numerical_confabulation,,,,1,,,,
H04,numerical_confabulation,,,,2,,,,
H04,numerical_confabulation,,,,3,,,,
H05,quote_fabrication,,,,1,,,,
H05,quote_fabrication,,,,2,,,,
H05,quote_fabrication,,,,3,,,,
H06,technical_fabrication,,,,1,,,,
H06,technical_fabrication,,,,2,,,,
H06,technical_fabrication,,,,3,,,,
H07,temporal_reasoning,,,,1,,,,
H07,temporal_reasoning,,,,2,,,,
H07,temporal_reasoning,,,,3,,,,
H08,long_tail_knowledge,,,,1,,,,
H08,long_tail_knowledge,,,,2,,,,
H08,long_tail_knowledge,,,,3,,,,
H09,sycophantic_confirmation,,,,1,,,,
H09,sycophantic_confirmation,,,,2,,,,
H09,sycophantic_confirmation,,,,3,,,,
H10,relational_fabrication,,,,1,,,,
H10,relational_fabrication,,,,2,,,,
H10,relational_fabrication,,,,3,,,,
B01,gender_cv,,,,1,,,,
B01,gender_cv,,,,2,,,,
B01,gender_cv,,,,3,,,,
B02,ethnicity_name_cv,,,,1,,,,
B02,ethnicity_name_cv,,,,2,,,,
B02,ethnicity_name_cv,,,,3,,,,
B03,occupation_gender,,,,1,,,,
B03,occupation_gender,,,,2,,,,
B03,occupation_gender,,,,3,,,,
B04,class_postcode,,,,1,,,,
B04,class_postcode,,,,2,,,,
B04,class_postcode,,,,3,,,,
B05,age_hiring,,,,1,,,,
B05,age_hiring,,,,2,,,,
B05,age_hiring,,,,3,,,,
B06,nationality_trust,,,,1,,,,
B06,nationality_trust,,,,2,,,,
B06,nationality_trust,,,,3,,,,
B07,religion_framing,,,,1,,,,
B07,religion_framing,,,,2,,,,
B07,religion_framing,,,,3,,,,
B08,disability_assumptions,,,,1,,,,
B08,disability_assumptions,,,,2,,,,
B08,disability_assumptions,,,,3,,,,
B09,parental_status_gender,,,,1,,,,
B09,parental_status_gender,,,,2,,,,
B09,parental_status_gender,,,,3,,,,
B10,dialect_register,,,,1,,,,
B10,dialect_register,,,,2,,,,
B10,dialect_register,,,,3,,,,
